student_id,age,gender,gaming_hours,study_hours,sleep_hours,attendance,gaming_genre,social_activity,device_usage,reaction_time_ms,addiction_score,stress_level,grades
1,22,Male,7.2,8.8,7.0,91.4,FPS,3.3,9.4,235.84,14.69,Low,86
2,19,Male,0.1,8.7,7.6,63.6,Casual,1.0,3.2,328.71,2.47,Medium,98
3,23,Female,1.7,9.6,4.4,83.3,Casual,3.5,5.6,313.61,4.73,High,91
4,20,Female,6.6,1.7,7.8,75.0,RPG,1.5,11.8,241.84,14.54,Low,33
5,22,Female,5.4,5.8,5.6,65.6,FPS,1.0,8.2,249.31,12.48,Low,59
6,18,Male,7.2,6.8,8.0,68.1,RPG,3.7,10.9,242.75,18.75,Low,58
7,22,Female,0.5,7.4,6.6,91.3,Casual,1.8,2.9,320.20,1.74,Medium,94
8,23,Female,4.8,6.8,5.4,66.5,FPS,2.9,10.0,271.21,11.75,Medium,62
9,20,Female,4.6,7.9,8.8,72.5,FPS,1.0,9.5,272.39,11.04,Medium,81
10,19,Male,0.3,4.2,7.8,71.4,Casual,3.1,5.4,318.59,4.72,Medium,82
11,23,Female,4.1,2.6,8.9,62.0,RPG,1.0,5.4,273.33,10.57,Medium,52
12,23,Female,4.9,2.8,5.8,78.5,RPG,0.8,8.3,268.46,9.32,Medium,42
13,18,Male,1.5,1.1,7.3,90.6,FPS,1.9,3.2,287.14,3.55,Medium,63
14,21,Female,2.2,4.2,7.1,60.9,Casual,4.0,6.6,307.02,8.78,Medium,73
15,20,Male,5.1,1.8,7.4,64.5,FPS,0.9,7.7,263.06,10.85,Low,37
16,17,Male,3.8,3.9,4.2,88.8,Casual,0.6,8.6,266.54,12.72,Medium,57
17,23,Male,6.9,6.7,5.5,83.7,FPS,0.2,8.2,239.53,15.76,Low,62
18,21,Female,2.7,9.1,8.6,88.6,Casual,2.1,6.3,300.31,10.78,Medium,100
19,17,Male,2.1,8.6,6.1,69.2,FPS,1.4,3.8,297.34,4.45,Medium,91
20,20,Male,7.9,3.3,8.8,92.2,RPG,1.5,11.7,218.12,19.06,Low,42
21,16,Female,7.3,2.2,5.1,79.2,Casual,4.9,11.3,219.78,18.07,Low,19
22,21,Male,0.2,2.7,9.0,84.4,FPS,1.0,3.5,341.89,4.27,Medium,76
23,24,Female,6.2,9.7,7.5,63.7,FPS,2.3,8.6,228.57,14.25,Low,100
24,16,Female,0.9,6.0,7.9,68.2,Casual,4.9,2.0,312.81,4.57,Medium,92
25,18,Female,0.2,2.6,6.0,90.9,FPS,0.2,4.5,311.49,1.33,Medium,56
26,22,Female,2.2,8.6,8.5,69.0,Casual,3.5,7.5,304.14,6.94,Medium,100
27,19,Female,2.2,4.6,6.7,63.7,FPS,1.9,6.8,282.04,3.66,Medium,75
28,24,Male,6.6,9.1,7.4,83.9,RPG,4.5,12.0,257.48,15.30,Low,88
29,18,Female,5.7,3.4,4.5,81.9,FPS,4.6,11.3,250.47,12.50,Low,39
30,20,Male,7.9,4.5,7.2,84.3,Casual,1.9,11.1,223.60,17.99,Low,45
31,18,Female,5.7,5.5,8.4,84.7,FPS,1.1,10.2,248.59,15.60,Low,70
32,22,Male,3.4,9.0,4.9,80.0,RPG,2.1,6.3,273.87,9.32,High,88
33,20,Female,5.6,8.8,7.7,79.8,FPS,4.8,11.2,249.23,15.54,Low,89
34,24,Female,8.0,6.2,4.1,97.0,RPG,1.4,11.8,231.18,18.10,Low,41
35,22,Female,5.7,3.0,8.6,81.4,FPS,4.9,10.4,234.62,13.46,Low,43
36,17,Male,6.1,4.6,8.9,84.7,FPS,4.1,7.2,239.43,10.37,Low,63
37,19,Male,7.5,9.8,5.8,70.7,RPG,1.3,11.4,244.83,13.11,High,72
38,24,Female,0.9,6.5,4.5,94.8,FPS,4.0,5.6,308.18,1.16,Medium,83
39,17,Female,5.6,8.0,7.3,61.0,Casual,0.3,7.9,246.60,11.10,Low,75
40,24,Male,6.8,5.1,4.2,82.3,Casual,2.7,7.9,225.53,15.98,Low,30
41,20,Other,7.6,5.8,6.4,75.4,RPG,1.8,12.4,216.62,15.18,Low,39
42,17,Female,1.7,4.9,5.4,84.2,FPS,2.1,4.4,309.54,3.08,Medium,80
43,19,Male,4.0,7.3,6.4,74.4,RPG,2.4,7.2,263.41,8.69,Medium,87
44,22,Female,5.4,8.7,4.1,88.7,FPS,2.5,9.3,262.77,15.36,High,78
45,23,Female,2.0,5.6,4.3,60.8,Casual,3.3,3.5,286.43,4.66,Medium,70
46,18,Male,4.8,5.3,4.1,76.2,FPS,3.5,6.3,261.14,10.63,Medium,56
47,16,Male,2.1,4.1,7.1,93.3,FPS,4.9,7.9,294.59,7.84,Medium,75
48,19,Female,2.7,2.6,6.8,70.0,FPS,3.8,5.4,280.42,9.47,Medium,57
49,17,Female,3.5,9.5,5.2,62.1,Casual,3.4,5.8,278.41,8.37,High,87
50,23,Male,4.2,3.8,7.2,79.9,Casual,2.0,5.5,248.08,5.55,Medium,64
51,19,Female,3.6,8.2,8.4,99.1,FPS,0.6,5.5,276.03,8.37,Medium,99
52,17,Female,4.0,7.4,5.4,62.6,Casual,0.3,7.1,277.05,12.36,High,67
53,21,Female,2.4,8.1,8.2,62.8,FPS,2.4,5.1,282.97,7.42,Medium,94
54,21,Male,1.3,9.4,7.3,83.8,Casual,3.3,4.4,306.89,4.53,Medium,100
55,19,Female,0.4,6.6,4.2,70.0,RPG,3.3,4.9,316.97,3.73,Medium,78
56,21,Male,1.6,9.1,5.9,76.4,Casual,4.8,5.8,303.10,1.57,High,100
57,17,Male,4.7,2.5,6.5,93.2,FPS,1.9,8.1,250.63,7.10,Medium,58
58,17,Male,6.3,6.6,7.7,68.0,RPG,3.1,11.4,245.47,16.90,Low,64
59,19,Female,1.4,8.0,5.4,88.8,RPG,4.4,6.6,286.58,7.92,High,85
60,23,Female,0.9,3.4,8.9,80.2,FPS,2.0,4.8,303.27,2.46,Medium,86
61,22,Male,6.0,7.7,7.4,96.2,FPS,2.4,7.6,248.08,13.16,Low,97
62,24,Female,2.4,8.0,5.9,98.9,Casual,4.6,5.5,292.80,7.64,High,89
63,23,Male,7.6,8.5,4.5,79.4,RPG,2.8,11.8,216.59,20.63,High,54
64,20,Male,5.7,3.8,4.9,83.4,RPG,4.0,7.0,248.64,11.92,Low,47
65,17,Other,2.6,7.1,6.4,89.8,FPS,4.7,3.7,296.63,7.25,Medium,87
66,20,Female,2.3,3.7,6.5,72.8,FPS,2.9,8.1,282.36,11.50,Medium,60
67,23,Male,4.2,7.7,7.8,69.1,Casual,0.6,8.8,248.18,10.14,Medium,77
68,24,Female,0.6,5.2,7.6,98.6,Casual,4.1,2.4,317.74,2.27,Medium,100
69,24,Male,0.9,6.4,5.0,77.3,Casual,4.1,4.2,299.30,1.28,Medium,84
70,16,Male,1.4,4.7,7.0,60.1,Casual,0.6,3.4,296.69,1.69,Medium,75
71,24,Female,6.2,2.5,4.1,93.5,Casual,2.7,7.3,246.91,14.68,Low,35
72,22,Female,4.1,2.6,6.0,84.0,FPS,2.4,7.1,271.45,12.09,Medium,48
73,24,Male,0.1,1.7,7.8,66.7,FPS,4.2,4.3,329.26,4.61,Medium,68
74,23,Female,5.4,6.6,6.0,61.2,Casual,1.4,11.2,252.90,11.60,Low,60
75,16,Female,3.4,8.6,8.2,71.7,FPS,2.1,8.2,280.00,8.79,Medium,92
76,23,Male,4.1,1.2,8.9,97.1,Casual,3.0,6.2,253.99,10.21,Medium,67
77,23,Female,1.7,1.6,7.0,97.3,Casual,2.6,4.4,305.76,0.21,Medium,70
78,18,Female,4.4,5.1,4.7,72.4,RPG,4.8,8.0,260.17,11.53,Medium,57
79,16,Female,7.8,7.6,5.9,93.4,FPS,4.8,9.8,258.35,20.40,High,70
80,23,Female,0.6,2.4,4.1,77.7,RPG,0.4,5.8,310.78,6.03,Medium,72
81,18,Female,2.3,3.4,7.0,86.2,Casual,1.5,4.1,297.00,0.64,Medium,70
82,18,Male,1.9,3.1,8.1,73.4,Casual,0.0,4.4,303.10,5.90,Medium,63
83,16,Female,2.0,4.6,7.2,80.6,FPS,2.1,5.9,295.23,6.36,Medium,84
84,20,Female,3.0,3.0,7.9,71.8,Casual,3.3,4.7,288.01,7.41,Medium,60
85,22,Male,6.5,4.2,8.0,62.4,RPG,2.4,10.7,264.07,15.35,Low,34
86,24,Female,7.3,7.6,8.3,65.6,FPS,0.3,13.0,224.86,16.81,Low,76
